"Cycle","Domain","Component","Official_source","Local_cache_filename","Source_SHA","Role"
"2003_2004","Demographics","DEMO_C","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DEMO_C.XPT","2003_2004/DEMO_C.xpt","2A2FDB88263337BFA06F0516BFB419631595F0A0EE88FB96069BED13D1857C6F","sampling,demographics,pregnancy,design"
"2003_2004","Questionnaire","MCQ_C","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/MCQ_C.XPT","2003_2004/MCQ_C.xpt","42487737067C5DBDF533BB91B5F752D1FFF1DFA9EED91C7AE54AB5E49B65B019","stroke outcome"
"2003_2004","Questionnaire","BPQ_C","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/BPQ_C.XPT","2003_2004/BPQ_C.xpt","B31DB89674D59073106581ED41C265C387A70000DCE0CB984A865E82CD9B63A0","hypertension,hyperlipidemia"
"2003_2004","Questionnaire","DIQ_C","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/DIQ_C.XPT","2003_2004/DIQ_C.xpt","E64A1DB590D733C812359ABB0DA6FDC3F20860EC3F89AEC24442DF994E90BEFE","diabetes"
"2003_2004","Questionnaire","SMQ_C","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/SMQ_C.XPT","2003_2004/SMQ_C.xpt","FBFE1E4B286AB43FDC3FD84C3830BB241B8B5CA84B3AB5902B8808E4136EFC2C","smoking"
"2003_2004","Questionnaire","ALQ_C","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/ALQ_C.XPT","2003_2004/ALQ_C.xpt","E223A963AD4470E1A2E0DD1561B55A3FA91781DAB3B46F5017F9EB1F62D0CED9","alcohol"
"2003_2004","Examination","BMX_C","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/BMX_C.XPT","2003_2004/BMX_C.xpt","B3D3E431B5964EA8B5807035044322FCF32F3878D814D4A844204E51C793F090","BMI"
"2003_2004","Laboratory","L24PH_C","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L24PH_C.XPT","2003_2004/L24PH_C.xpt","3C2847A7F5FA5ACD5F50F846E648B9F9A0507AF9A272C865D25D11D38B77DC54","phthalate metabolites,subsample weight,creatinine through 2013_2014"
"2005_2006","Demographics","DEMO_D","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DEMO_D.XPT","2005_2006/DEMO_D.xpt","BF9CC79CCE501B2FBE5AA8D5B403B618548D02D4AEFEB528335CDD9F4C40A3AF","sampling,demographics,pregnancy,design"
"2005_2006","Questionnaire","MCQ_D","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/MCQ_D.XPT","2005_2006/MCQ_D.xpt","12BF5F557C97284E096A8CD8AEFBC8E3AB9F12A410C2F50474C4DFDDD2EBF6F4","stroke outcome"
