"Variable","Source_component","Source_variable","Role","Transformation_or_definition","Cycle_availability"
"SEQN","All included NHANES components","SEQN","Participant identifier","None","2003–2018"
"cycle","Derived during import","Not applicable","Survey cycle","Fixed cycle label from component suffix","2003–2018"
"RIAGENDR","DEMO_*","RIAGENDR","Source sex","Official translated value","2003–2018"
"RIDAGEYR","DEMO_*","RIDAGEYR","Age / covariate","Years at screening","2003–2018"
"RIDRETH1","DEMO_*","RIDRETH1","Source race/ethnicity","Official translated value","2003–2018"
"DMDEDUC2","DEMO_*","DMDEDUC2","Source education","Official translated value","2003–2018"
"DMDMARTL","DEMO_*","DMDMARTL","Source marital status","Official translated value","2003–2018"
"INDFMPIR","DEMO_*","INDFMPIR","Source PIR","Continuous family poverty-income ratio","2003–2018"
"SDMVPSU","DEMO_*","SDMVPSU","Survey PSU","None","2003–2018"
"SDMVSTRA","DEMO_*","SDMVSTRA","Survey stratum","None","2003–2018"
"RIDEXPRG","DEMO_*","RIDEXPRG","Pregnancy exclusion","Translated pregnancy status","2003–2018 when available"
"MCQ160F","MCQ_*","MCQ160F","Stroke source","Self-reported doctor-diagnosed stroke Yes/No","2003–2018"
"BPQ020","BPQ_*","BPQ020","Hypertension source","Official translated value","2003–2018"
"BPQ040A","BPQ_*","BPQ040A","Hypertension medication source","Official translated value","2003–2018 when available"
"BPQ080","BPQ_*","BPQ080","Hyperlipidemia source","Official translated value","2003–2018"
"DIQ010","DIQ_*","DIQ010","Diabetes source","Official translated value","2003–2018"
"SMQ020","SMQ_*","SMQ020","Smoking source","Ever smoked at least 100 cigarettes","2003–2018"
"ALQ101","ALQ_*","ALQ101 or ALQ111","Alcohol source","ALQ111 renamed to ALQ101 when required by cycle","2003–2018"
"ALQ120Q","ALQ_*","ALQ120Q","Alcohol source","Frequency input to derived alcohol variable","2003–2018"
"ALQ130","ALQ_*","ALQ130","Imported alcohol field","Retained if available; not used in registered Model 3","2003–2018 when available"
"BMXBMI","BMX_*","BMXBMI","BMI source","kg/m^2","2003–2018"
"WTSA2YR","Cycle phthalate component","WTSA2YR","2011–2012 subsample weight","Selected for 2011–2012","2011–2012"
"WTSB2YR","Cycle phthalate component","WTSB2YR","Phthalate subsample weight","Selected for all cycles except 2011–2012","2003–2010 and 2013–2018"
"WTMEC2YR","Derived from cycle phthalate component","WTSA2YR or WTSB2YR","Selected two-year subsample weight","WTSA2YR in 2011–2012; WTSB2YR otherwise","2003–2018"
"WTMEC_comb","Derived","WTMEC2YR","Eight-cycle pooled weight","WTMEC2YR / 8","2003–2018"
"URXUCR","L24PH_C/PHTHTE_D-H or ALB_CR_I/J","URXUCR","Urinary creatinine","Direct source value; required >0","2003–2018"
"URXMBP","Cycle phthalate component","URXMBP","Mono-n-butyl phthalate","Cycle-specific LOD/sqrt(2) substitution when flagged","2003–2018"
"URXMZP","Cycle phthalate component","URXMZP","Monobenzyl phthalate","Cycle-specific LOD/sqrt(2) substitution when flagged","2003–2018"
"URXECP","Cycle phthalate component","URXECP","Mono(2-ethyl-5-carboxypentyl) phthalate","Cycle-specific LOD/sqrt(2) substitution when flagged","2003–2018"
"URXMHH","Cycle phthalate component","URXMHH","Mono(2-ethyl-5-hydroxyhexyl) phthalate","Cycle-specific LOD/sqrt(2) substitution when flagged","2003–2018"
"URXMOH","Cycle phthalate component","URXMOH","Mono(2-ethyl-5-oxohexyl) phthalate","Cycle-specific LOD/sqrt(2) substitution when flagged","2003–2018"
"URXMC1","Cycle phthalate component","URXMC1","Mono(3-carboxypropyl) phthalate","Cycle-specific LOD/sqrt(2) substitution when flagged","2003–2018"
"URXMEP","Cycle phthalate component","URXMEP","Monoethyl phthalate","Cycle-specific LOD/sqrt(2) substitution when flagged","2003–2018"
"URXMIB","Cycle phthalate component","URXMIB","Mono-isobutyl phthalate","Cycle-specific LOD/sqrt(2) substitution when flagged","2003–2018"
"URXCNP","Cycle phthalate component","URXCNP","Mono(carboxynonyl) phthalate","Cycle-specific LOD/sqrt(2) substitution when flagged","2005–2018"
"URXCOP","Cycle phthalate component","URXCOP","Mono(carboxyoctyl) phthalate","Cycle-specific LOD/sqrt(2) substitution when flagged","2005–2018"
"URDMBPLC","Cycle phthalate component","URDMBPLC","LOD flag","Below-LOD indicator","2003–2018 when available"
"URDMZPLC","Cycle phthalate component","URDMZPLC","LOD flag","Below-LOD indicator","2003–2018 when available"
"URDECPLC","Cycle phthalate component","URDECPLC","LOD flag","Below-LOD indicator","2003–2018 when available"
"URDMHHLC","Cycle phthalate component","URDMHHLC","LOD flag","Below-LOD indicator","2003–2018 when available"
"URDMOHLC","Cycle phthalate component","URDMOHLC","LOD flag","Below-LOD indicator","2003–2018 when available"
"URDMC1LC","Cycle phthalate component","URDMC1LC","LOD flag","Below-LOD indicator","2003–2018 when available"
"URDMEPLC","Cycle phthalate component","URDMEPLC","LOD flag","Below-LOD indicator","2003–2018 when available"
"URDMIBLC","Cycle phthalate component","URDMIBLC","LOD flag","Below-LOD indicator","2003–2018 when available"
"URDCNPLC","Cycle phthalate component","URDCNPLC","LOD flag","Below-LOD indicator","2005–2018 when available"
"URDCOPLC","Cycle phthalate component","URDCOPLC","LOD flag","Below-LOD indicator","2005–2018 when available"
"stroke","Derived from MCQ160F","MCQ160F","Binary outcome","Yes=1; No=0","2003–2018"
"sex","Derived from RIAGENDR","RIAGENDR","Stratification variable","Female/Male factor","2003–2018"
"race_eth_f","Derived from RIDRETH1","RIDRETH1","Model covariate","Five-category factor","2003–2018"
"edu_f","Derived from DMDEDUC2","DMDEDUC2","Model covariate","Three-category education factor","2003–2018"
"marital_f","Derived from DMDMARTL","DMDMARTL","Model covariate","Three-category marital-status factor","2003–2018"
"pir","Derived from INDFMPIR","INDFMPIR","Model covariate","Continuous","2003–2018"
"bmi","Derived from BMXBMI","BMXBMI","Model covariate","Continuous kg/m^2","2003–2018"
"smoking_f","Derived from SMQ020","SMQ020","Model covariate","Ever/Never factor","2003–2018"
"alcohol_f","Derived from ALQ101 and ALQ120Q","ALQ101; ALQ120Q","Model covariate","Yes/No factor using registered composite rule","2003–2018"
"hypertension_f","Derived from BPQ020 and BPQ040A","BPQ020; BPQ040A","Model covariate","Yes/No factor","2003–2018"
"diabetes_f","Derived from DIQ010","DIQ010","Model covariate","Yes/No factor; borderline excluded","2003–2018"
"hyperlipidemia_f","Derived from BPQ080","BPQ080","Model covariate","Yes/No factor","2003–2018"
"MBP_ln","Derived from URXMBP and URXUCR","URXMBP; URXUCR","Exposure","ln(URXMBP/URXUCR*1000)","2003–2018"
"MBzP_ln","Derived from URXMZP and URXUCR","URXMZP; URXUCR","Exposure","ln(URXMZP/URXUCR*1000)","2003–2018"
"MECPP_ln","Derived from URXECP and URXUCR","URXECP; URXUCR","Exposure","ln(URXECP/URXUCR*1000)","2003–2018"
"MEHHP_ln","Derived from URXMHH and URXUCR","URXMHH; URXUCR","Exposure","ln(URXMHH/URXUCR*1000)","2003–2018"
"MEOHP_ln","Derived from URXMOH and URXUCR","URXMOH; URXUCR","Exposure","ln(URXMOH/URXUCR*1000)","2003–2018"
"MCPP_ln","Derived from URXMC1 and URXUCR","URXMC1; URXUCR","Exposure","ln(URXMC1/URXUCR*1000)","2003–2018"
"MEP_ln","Derived from URXMEP and URXUCR","URXMEP; URXUCR","Exposure","ln(URXMEP/URXUCR*1000)","2003–2018"
"MiBP_ln","Derived from URXMIB and URXUCR","URXMIB; URXUCR","Exposure","ln(URXMIB/URXUCR*1000)","2003–2018"
"MCNP_ln","Derived from URXCNP and URXUCR","URXCNP; URXUCR","Exposure","ln(URXCNP/URXUCR*1000)","2005–2018"
