"Package","Version","Built","Repository","Status"
"nhanesA","1.4.1","4.5.2",NA,"REPRODUCTION_ENVIRONMENT"
"foreign","0.8-90","4.5.2",NA,"REPRODUCTION_ENVIRONMENT"
"haven","2.5.5","4.5.2",NA,"REPRODUCTION_ENVIRONMENT"
"dplyr","1.2.0","4.5.2",NA,"REPRODUCTION_ENVIRONMENT"
"tidyr","1.3.2","4.5.2",NA,"REPRODUCTION_ENVIRONMENT"
"purrr","1.2.1","4.5.2",NA,"REPRODUCTION_ENVIRONMENT"
"survey","4.5","4.5.2",NA,"REPRODUCTION_ENVIRONMENT"
"rms","8.1-1","4.5.2",NA,"REPRODUCTION_ENVIRONMENT"
"gWQS","3.0.5","4.5.3",NA,"REPRODUCTION_ENVIRONMENT"
"qgcomp","2.18.10","4.5.3",NA,"REPRODUCTION_ENVIRONMENT"
"digest","0.6.39","4.5.2",NA,"REPRODUCTION_ENVIRONMENT"
"readr","2.2.0","4.5.2",NA,"REPRODUCTION_ENVIRONMENT"
"future","1.70.0","4.5.2",NA,"REPRODUCTION_ENVIRONMENT"
"future.apply","1.20.2","4.5.2",NA,"REPRODUCTION_ENVIRONMENT"
