"Cycle","Component","Source_SHA","Source_bytes","Rows","Columns","Workspace_RDS"
"2003_2004","DEMO_C","2A2FDB88263337BFA06F0516BFB419631595F0A0EE88FB96069BED13D1857C6F",3569840,10122,44,"2003_2004/DEMO_C.rds"
"2003_2004","MCQ_C","42487737067C5DBDF533BB91B5F752D1FFF1DFA9EED91C7AE54AB5E49B65B019",11904960,9645,154,"2003_2004/MCQ_C.rds"
"2003_2004","BPQ_C","B31DB89674D59073106581ED41C265C387A70000DCE0CB984A865E82CD9B63A0",1795120,6213,36,"2003_2004/BPQ_C.rds"
"2003_2004","DIQ_C","E64A1DB590D733C812359ABB0DA6FDC3F20860EC3F89AEC24442DF994E90BEFE",1314880,9645,17,"2003_2004/DIQ_C.rds"
"2003_2004","SMQ_C","FBFE1E4B286AB43FDC3FD84C3830BB241B8B5CA84B3AB5902B8808E4136EFC2C",1932320,5041,42,"2003_2004/SMQ_C.rds"
"2003_2004","ALQ_C","E223A963AD4470E1A2E0DD1561B55A3FA91781DAB3B46F5017F9EB1F62D0CED9",343440,4742,9,"2003_2004/ALQ_C.rds"
"2003_2004","BMX_C","B3D3E431B5964EA8B5807035044322FCF32F3878D814D4A844204E51C793F090",2551120,9643,33,"2003_2004/BMX_C.rds"
"2003_2004","L24PH_C","3C2847A7F5FA5ACD5F50F846E648B9F9A0507AF9A272C865D25D11D38B77DC54",630560,2697,29,"2003_2004/L24PH_C.rds"
"2005_2006","DEMO_D","BF9CC79CCE501B2FBE5AA8D5B403B618548D02D4AEFEB528335CDD9F4C40A3AF",3566560,10348,43,"2005_2006/DEMO_D.rds"
"2005_2006","MCQ_D","12BF5F557C97284E096A8CD8AEFBC8E3AB9F12A410C2F50474C4DFDDD2EBF6F4",7006480,9822,89,"2005_2006/MCQ_D.rds"
"2005_2006","BPQ_D","089B29FDFBC3D46A93C63E74CFC29376B3168556813D206119D471EE48991BAC",788800,6139,16,"2005_2006/BPQ_D.rds"
"2005_2006","DIQ_D","AC81ED56D09AADBE12DF39C6991D9F4D9CFA04211AEE4D103D38C981390B826E",2834560,9822,36,"2005_2006/DIQ_D.rds"
"2005_2006","SMQ_D","EF82433ACA1A36BA2310A624CCDBAF195E2A258A88AF0F284EF2A58D36BE3011",2578880,7186,39,"2005_2006/SMQ_D.rds"
"2005_2006","ALQ_D","BE651DA341D629CF2456E5C2FA0387C48FA67CD0949D6DC9ACC46FF6060BCABE",345680,4773,9,"2005_2006/ALQ_D.rds"
"2005_2006","BMX_D","A52909BE94CF825BA8A65477A9528603576FD5FBF3ABADD72549A3F15C88566E",2153760,9950,27,"2005_2006/BMX_D.rds"
"2005_2006","PHTHTE_D","5ED37A3D5D34A15DB34D23806624F45CE2F217C4B6FADEF31D6AA031CCAA572E",701840,2638,33,"2005_2006/PHTHTE_D.rds"
"2007_2008","DEMO_E","02B8E97703D04BC99769C751881BECE51AC9BA68CF18A2992A45D3BDFB856147",3498080,10149,43,"2007_2008/DEMO_E.rds"
"2007_2008","MCQ_E","DFBE11C6B036EC4E79AEBA7805833FC4951C74662A9510066C3A93932F6990E6",7127840,9666,92,"2007_2008/MCQ_E.rds"
"2007_2008","BPQ_E","B802B5855D48FC230C734083EA1E4D4A9D84E1B36BF5E78FCD725C17D6CE77DF",998480,6546,19,"2007_2008/BPQ_E.rds"
